# What the reference Basis transcoder produces, one line per image.
#
# Baked by tools/basis-cpp-oracle, which vendors the reference at the
# revision draco-texture was ported from and builds it in the profile a
# browser gets. Checked by crates/draco-texture/tests/ktx2_goldens.rs,
# which needs neither that compiler nor a browser.
#
# fixture	level	target	bytes	sha256
sample_etc1s.ktx2	7	rgba8	256	6e494af4fffe9a68d3279d60e6c30ab6e6563290ebec5739d7a50970f9ffd98e
sample_etc1s.ktx2	7	bc1	32	beeeed198338abee7a5a657683958c46b5b30e2f407a1db13542b0d173601710
sample_etc1s.ktx2	7	bc3	64	2e0755499a38978d8cc7f5d2e5d77a215bf0ad30ce4f46580e3a1804da577b37
sample_etc1s.ktx2	7	etc1	32	dc9adf78c81408e24a252875cb7b22f854daea8c4fe0a4f0adc695fbfdc9c8f8
sample_etc1s.ktx2	7	etc2	64	54ac427179ae93fed88133dbea3a85bda13925c8289721f0ba5ec4dfd2ef48d9
sample_etc1s.ktx2	7	astc	64	333d35b1e78e9acd2b89ce5e6f973f1f5afdfdd1afe71403a0bb15bc97faed40
sample_etc1s.ktx2	8	rgba8	64	ada08b7e7422ac0046d5f8968f4cf0e6db6b0c4d4a506b04c625634cc97da0f7
sample_etc1s.ktx2	8	bc1	8	6751dce39266c22678a07fe3ef76d61f8786494efd773b6bbcf5e666d6700a30
sample_etc1s.ktx2	8	bc3	16	03262c26cba370090d93924e3f6d1a031bc1cdb57426f01cb346f3fead72a142
sample_etc1s.ktx2	8	etc1	8	991f42e6a519227dd13e2b7ba63130018504eb5495ad06d936e9e08f4d58841f
sample_etc1s.ktx2	8	etc2	16	7b11bbcabd6084d7957418cd68ff3cdfb3b7b79bbdef971b6d3c1a1cf7834c8f
sample_etc1s.ktx2	8	astc	16	858158457f94f070b8cc58dc979518e4d4856255120a04b0cc94f7a3e4b55c77
sample_etc1s.ktx2	9	rgba8	16	36270d7e0739a5ac96ade9c739e4083279c5fa7a8744e87696c4ff192c1eeda9
sample_etc1s.ktx2	9	bc1	8	0b5aeaa81b8e8a2019d1366690e5f8bc861e4b52817536267f51d907b877b2ce
sample_etc1s.ktx2	9	bc3	16	e64224bc17e3eaea067fea41fdc1e8df51e420103ac6b5b097aefe7307fcf0ee
sample_etc1s.ktx2	9	etc1	8	699d8b0590b1a327a9def2e758afdabf6139dfcdb97fb30d36f0b62d682b588a
sample_etc1s.ktx2	9	etc2	16	7e9245de32920d1737671ad808c3db5a2ebf96019ba06b23761ec1cbee15fa62
sample_etc1s.ktx2	9	astc	16	2404120e9455b50e2600b2e93f7519a3bf540f27d316318f46c29c0d9c772daf
sample_etc1s.ktx2	10	rgba8	4	833007b02036b367e2c758f358fe822b6e51d99f679f53058e283a632074d6b8
sample_etc1s.ktx2	10	bc1	8	f0c773a35f63bd1a81417d6fee8b7dd5a2a2127f6fa626d57619d591537554ce
sample_etc1s.ktx2	10	bc3	16	0f0569bcd16b3789cce2c12e3a1d89c763237f2f06f7fb3587ad45621c98f97e
sample_etc1s.ktx2	10	etc1	8	377fbbadf2fd9733b714828839f7c2ef853a1dc4e403a052b535b833b58aeff6
sample_etc1s.ktx2	10	etc2	16	b9ec2336e346a07609fd3f69867c3b443c7efc8100ad662674b06608cd71123e
sample_etc1s.ktx2	10	astc	16	91e8c8bb5f5bfa4e725cb19c950cf866f803d1a592f93ea68609024124e9f6aa
2d_uastc.ktx2	0	rgba8	1048576	f874444835fca775d23511242b2bb20439612fbee6e5eeae3e3ab3c6be99b010
2d_uastc.ktx2	0	bc7	262144	08976a240e0a41a8738f7d7fdc0f101c032b9cc82ebcb4acd0271ea794e9a8a4
2d_uastc.ktx2	0	etc1	131072	9bcfd55f59b6feb0fdbdcae6e78c2c7708560992145d4b35d32e9bd00ad6e119
2d_uastc.ktx2	0	etc2	262144	615bfb98078d64e1ce0ceec92e660d79e1480da7072f955ba3da483e741cd0d3
2d_uastc.ktx2	0	astc	262144	44c298cb339aea554949a0949a19d97f80995fcb4c1649839e1ca3227de7ac18
2d_uastc.ktx2	1	rgba8	262144	38fb5cec7cef2444c3de57b1f87070453e3eee07849da826b4e23f1bf31289c0
2d_uastc.ktx2	1	bc7	65536	9929b79d651eb16099ece6d46dfa383f74f4467e25f350687307e25fc37bf4f9
2d_uastc.ktx2	1	etc1	32768	43326830a81c99c4646edb898c64b397a9a00fa77a8cdaa28cbf7308b16bd762
2d_uastc.ktx2	1	etc2	65536	1e4cd3182f24c98ff78e4d46afb3c6b83b317d50617bebf2ee9649171176ea46
2d_uastc.ktx2	1	astc	65536	005332726134f291b5d729f0ba8ed7a6fddf5852f40433dc312e3ce62f63c976
2d_uastc.ktx2	2	rgba8	65536	4887ad4714dd0a97d07662a1416b0021235c8f3edc3527548cc0065b07f21883
2d_uastc.ktx2	2	bc7	16384	f6560db760064c39e3cd64a6f5585111c8fc518b60016c78d88014784ff392be
2d_uastc.ktx2	2	etc1	8192	ed825c37a1d0d5ff404ec9505ae5a75c0d33e687b29ba5fca35f7913624360d5
2d_uastc.ktx2	2	etc2	16384	f683fa28a61f3c04e479a0c4a919ed5eec57f5d568126e1eeadb46993d878556
2d_uastc.ktx2	2	astc	16384	84385224de997b232b26bfd0174d12c300a9c35c85b3848e0d9017f0adb83c7e
2d_uastc.ktx2	3	rgba8	16384	12017e29bff96bc8af64fbcbf45cd40c18d88fb8573919a25e3e010dca23489e
2d_uastc.ktx2	3	bc7	4096	48701d2a7efdd051c5bd99e80ddcde3a2548cbc87de636332ebe91f83b55c62c
